Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","CMT-8504-100","MagneticBuzzer_CUI_CMT-8504-100-SMT",49.500000,13.900000,0.000000,top
"C1","100nF","C_0402_1005Metric",6.220000,21.149920,0.000000,top
"C2","10uF","C_0402_1005Metric",23.900000,40.400000,90.000000,top
"C3","1uF","C_0402_1005Metric",24.850000,40.400000,90.000000,top
"C4","100nF","C_0402_1005Metric",25.800000,40.400000,90.000000,top
"C5","100nF","C_0402_1005Metric",27.750000,40.370000,-90.000000,top
"C6","100nF","C_0402_1005Metric",37.850000,36.700000,0.000000,top
"C7","1uF","C_0402_1005Metric",37.850000,35.750000,0.000000,top
"C8","100nF","C_0402_1005Metric",27.550000,34.200000,180.000000,top
"C9","100uF","C_1206_3216Metric",2.850000,28.400000,90.000000,top
"C10","1uF","C_0402_1005Metric",29.920000,44.400000,0.000000,top
"C11","10nF","C_0402_1005Metric",29.920000,43.450000,0.000000,top
"C12","1uF","C_0402_1005Metric",44.000000,30.300000,180.000000,top
"C13","1nF","C_0402_1005Metric",9.120000,13.949920,180.000000,top
"C14","100uF","C_1206_3216Metric",5.550000,14.049920,180.000000,top
"C15","100nF","C_0402_1005Metric",34.520000,43.550000,0.000000,top
"C16","1uF","C_0402_1005Metric",41.850000,28.800000,-90.000000,top
"C17","100nF","C_0402_1005Metric",4.320000,21.149920,180.000000,top
"C18","43pF","C_0402_1005Metric",9.600000,15.369920,90.000000,top
"C19","1uF","C_0402_1005Metric",10.800000,21.149920,0.000000,top
"C20","8.2nF","C_0402_1005Metric",3.800000,19.949920,0.000000,top
"C21","100nF","C_0402_1005Metric",40.340000,44.950000,0.000000,top
"C22","10nF","C_0402_1005Metric",24.700000,35.212500,0.000000,top
"C23","10uF","C_0402_1005Metric",24.700000,34.262500,0.000000,top
"C24","10nF","C_0402_1005Metric",22.700000,36.922500,-90.000000,top
"C25","100nF","C_0402_1005Metric",38.590000,43.000000,90.000000,top
"C26","100uF","C_1206_3216Metric",12.600000,2.000000,0.000000,top
"C27","12pF","C_0402_1005Metric",30.680000,46.535000,90.000000,top
"C28","12pF","C_0402_1005Metric",35.880000,45.765000,-90.000000,top
"C29","100uF","C_1206_3216Metric",19.400000,2.000000,0.000000,top
"C30","100uF","C_1206_3216Metric",26.200000,2.000000,0.000000,top
"C31","100uF","C_1206_3216Metric",33.000000,2.000000,0.000000,top
"C32","1uF","C_0402_1005Metric",6.100000,15.749920,180.000000,top
"C33","1uF","C_0402_1005Metric",11.830000,36.600000,180.000000,top
"C34","100nF","C_0402_1005Metric",26.050000,26.650000,90.000000,top
"C35","1.8nF","C_0402_1005Metric",27.320000,44.000000,180.000000,top
"C36","1.8nF","C_0402_1005Metric",27.300000,46.800000,180.000000,top
"C37","15pF","C_0402_1005Metric",22.700000,34.750000,-90.000000,top
"D1","DFLS130L","D_PowerDI-123",52.450000,31.800000,0.000000,top
"D2","DFLS130L","D_PowerDI-123",47.425000,31.800000,180.000000,top
"D3","1N4148W","D_SOD-123",42.800000,16.700000,-90.000000,top
"D5","Power","LED_0603_1608Metric",52.900000,44.800000,180.000000,top
"D6","TX0","LED_0603_1608Metric",52.900000,43.200000,180.000000,top
"D7","RX0","LED_0603_1608Metric",52.900000,41.600000,180.000000,top
"D8","Action","LED_0603_1608Metric",52.900000,40.000000,180.000000,top
"J1","USB_C","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",51.300000,24.500000,90.000000,top
"J2","I2C","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",13.475000,51.750000,180.000000,top
"L1","2.7nH","L_0402_1005Metric",26.800000,40.365000,90.000000,top
"L2","1uH","L_APV_APH0630",7.600000,26.250000,-90.000000,top
"L3","2.7nH","L_0402_1005Metric",27.800000,45.400000,90.000000,top
"Q1","BC817-40","SOT-23",44.400000,21.000000,180.000000,top
"Q2","NMOS","PDFN3x3-8L",3.662500,10.600000,0.000000,top
"R1","470k","R_0402_1005Metric",9.550000,11.550000,90.000000,top
"R2","267k","R_0402_1005Metric",8.600000,21.149920,0.000000,top
"R3","118k","R_0402_1005Metric",9.090000,12.999920,0.000000,top
"R4","100","R_0402_1005Metric",46.400000,36.000000,-90.000000,top
"R5","28.7k","R_0402_1005Metric",8.650000,15.359920,-90.000000,top
"R6","10k","R_0402_1005Metric",41.850000,26.950000,90.000000,top
